"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25548/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Heniochus acuminatus",25.41254
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Gymnocranius euanus",24.99433
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Lethrinus punctulatus",27.64967
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25549/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25550/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25551/?format=feather","2019","Lethrinus olivaceus",26.69171
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25551/?format=feather","2019","Lethrinus punctulatus",27.64967
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25552/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25553/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25556/?format=feather","2019","Chrysophrys auratus",19.75909
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25558/?format=feather","2019","Naso hexacanthus",25.77669
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25558/?format=feather","2019","Naso hexacanthus",25.77669
