OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	196	0	3559.28646	645.80597	3519.66422	770.89552
20210520-1	197	0	2097.90451	867.16418	2089.92970	981.13433
20210520-1	198	0	1953.95383	881.14925	1952.46380	999.17910
20210520-1	199	0	877.92340	819.38806	929.89927	973.11940
20210520-1	200	0	1068.62539	719.23881	1092.94439	899.04478
20210520-1	201	0	1268.07975	739.38806	1305.15845	856.73134
20210520-1	202	0	1686.69885	786.01493	1718.03253	918.08955
20210520-1	203	0	799.73242	645.80597	853.37041	737.02985
20210520-1	204	0	732.57608	603.49254	785.74292	672.61194
20210520-1	205	0	569.35572	752.14925	632.83106	930.61194
20210520-1	206	0	411.38930	837.73134	493.40923	987.64179
20210520-1	207	0	1826.82057	682.80597	1894.24239	626.41791
20210520-1	208	0	1587.07240	671.38806	1651.13641	604.25373
20210520-1	209	0	566.90451	628.17910	630.12067	594.35821
20210520-1	210	0	409.08709	702.73134	490.43022	697.77612
20210520-1	211	0	3244.62539	677.43284	3212.03673	799.92537
20210520-1	212	0	2228.53620	1550.82090	2293.44281	1639.58209
20210520-1	213	0	3346.06086	1759.00000	3398.14900	1798.61194
20210520-1	214	0	2717.90451	1811.41791	2784.01154	1858.89552
20210520-1	215	0	2887.13851	1861.11940	2947.20147	1924.71642
20210520-1	216	0	2642.65897	1938.05970	2720.13012	2133.13433
20210520-1	217	0	2541.92445	1772.16418	2616.03778	1966.56716
20210520-1	218	0	2106.98741	1894.55224	2223.81112	2109.62687
20210520-1	219	0	3002.18468	1921.64179	3062.36516	2104.25373
20210520-1	220	0	3275.92340	1879.71642	3329.15425	2104.25373
20210520-1	221	0	3744.63799	1883.65672	3789.63274	1979.11940
20210520-1	222	0	1554.51731	1655.38806	1496.29696	1891.86567
20210520-1	223	0	1842.12487	1676.82090	1784.51207	1916.50746
20210520-1	224	0	1027.62434	1881.85075	966.48793	2126.41791
20210520-1	225	0	332.11542	1867.83582	315.79748	2020.55224
